matcher,modality,pair_id,identity1,identity2,num_keypoints_image1,num_keypoints_image2,num_matches,num_inliers,inlier_ratio,is_same_person_pred,confidence,ground_truth,is_correct,reprojection_error,timings_ms
loftr,finger,FV-USM_genuine_0,080,080,615,615,615,582,0.9463,True,0.9463,True,True,0.5252,"{""load_images"": 1.3335, ""preprocess"": 0.6984, ""masking"": 3.0524, ""inference_ms"": 438.5082, ""match_impl_total"": 440.0764, ""homography"": 1.4745, ""result_creation"": 0.0811}"
orb,finger,FV-USM_genuine_0,080,080,0,0,0,0,,False,,True,False,,"{""load_images"": 1.0529, ""preprocess"": 0.5336, ""masking"": 0.5889, ""feature_extraction_ms"": 1.7745, ""match_impl_total"": 1.8049, ""homography"": 0.0106, ""result_creation"": 0.0311}"
orb-fingervein,finger,FV-USM_genuine_0,080,080,1639,650,95,40,0.4211,False,0.4052,True,False,2.2656,"{""load_images"": 0.9606, ""preprocess"": 0.3666, ""masking"": 0.5584, ""feature_extraction_ms"": 98.5901, ""matching_ms"": 10.9067, ""match_impl_total"": 109.6137, ""homography"": 5.0753, ""result_creation"": 0.0744}"
sift,finger,FV-USM_genuine_0,080,080,21,4,3,0,,False,,True,False,,"{""load_images"": 1.1853, ""preprocess"": 0.3727, ""masking"": 0.5746, ""feature_extraction_ms"": 22.2462, ""matching_ms"": 0.1762, ""match_impl_total"": 22.539, ""homography"": 0.0113, ""result_creation"": 0.0318}"
sift-fingervein,finger,FV-USM_genuine_0,080,080,428,235,49,29,0.5918,True,0.5806,True,True,1.8814,"{""load_images"": 0.9786, ""preprocess"": 0.3735, ""masking"": 0.4757, ""feature_extraction_ms"": 30.6491, ""matching_ms"": 9.061, ""match_impl_total"": 39.9918, ""homography"": 1.5269, ""result_creation"": 0.0664}"
superglue,finger,FV-USM_genuine_0,080,080,363,391,93,49,0.5269,True,0.5083,True,True,2.2170,"{""load_images"": 0.9789, ""preprocess"": 0.366, ""masking"": 0.4626, ""inference_ms"": 149.4597, ""match_impl_total"": 163.6056, ""homography"": 2.1677, ""result_creation"": 0.0679}"
superglue-fingervein,finger,FV-USM_genuine_0,080,080,703,712,261,142,0.5441,True,0.5216,True,True,2.3420,"{""load_images"": 1.3164, ""preprocess"": 0.3926, ""masking"": 0.6103, ""inference_ms"": 106.7831, ""match_impl_total"": 108.9369, ""homography"": 2.1868, ""result_creation"": 0.0663}"
sgmnet,finger,FV-USM_genuine_0,080,080,842,676,364,121,0.3324,False,0.3273,True,False,1.8121,"{""load_images"": 1.0203, ""preprocess"": 0.3695, ""masking"": 0.5958, ""feature_extraction_ms"": 44.4752, ""matching_ms"": 153.4017, ""match_impl_total"": 198.1092, ""homography"": 11.9605, ""result_creation"": 0.071}"
sgmnet-fingervein,finger,FV-USM_genuine_0,080,080,842,676,417,104,0.2494,True,0.2476,True,True,1.6473,"{""load_images"": 1.0528, ""preprocess"": 0.4569, ""masking"": 0.608, ""feature_extraction_ms"": 36.9275, ""matching_ms"": 107.7461, ""match_impl_total"": 144.8933, ""homography"": 38.6251, ""result_creation"": 0.0757}"
aspanformer,finger,FV-USM_genuine_0,080,080,431,431,431,429,0.9954,True,0.9954,True,True,0.5620,"{""load_images"": 1.0859, ""preprocess"": 0.0497, ""masking"": 0.3179, ""inference_ms"": 189.542, ""match_impl_total"": 190.347, ""homography"": 1.1275, ""result_creation"": 0.0745}"
