record_id,sample_id,image_path,identity,modality,dataset_name,split,metadata
1,11k_Hands::0001566::Hand_0003831,HandGeometry\Hands\Hand_0003831.jpg,0001566,handGeometry,11k_Hands,gallery,"{""aspect_of_hand"": ""dorsal right"", ""dataset_metadata"": {""filename"": ""Hand_0003831"", ""age"": ""21"", ""gender"": ""male"", ""skinColor"": ""medium"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""dorsal right"", ""imageName"": ""Hand_0003831.jpg"", ""irregularities"": ""1""}}"
2,11k_Hands::0001566::Hand_0003852,HandGeometry\Hands\Hand_0003852.jpg,0001566,handGeometry,11k_Hands,probe,"{""aspect_of_hand"": ""dorsal right"", ""dataset_metadata"": {""filename"": ""Hand_0003852"", ""age"": ""21"", ""gender"": ""male"", ""skinColor"": ""medium"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""dorsal right"", ""imageName"": ""Hand_0003852.jpg"", ""irregularities"": ""1""}}"
3,11k_Hands::0000086::Hand_0001996,HandGeometry\Hands\Hand_0001996.jpg,0000086,handGeometry,11k_Hands,gallery,"{""aspect_of_hand"": ""dorsal right"", ""dataset_metadata"": {""filename"": ""Hand_0001996"", ""age"": ""21"", ""gender"": ""female"", ""skinColor"": ""fair"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""dorsal right"", ""imageName"": ""Hand_0001996.jpg"", ""irregularities"": ""0""}}"
4,11k_Hands::0000086::Hand_0001997,HandGeometry\Hands\Hand_0001997.jpg,0000086,handGeometry,11k_Hands,probe,"{""aspect_of_hand"": ""dorsal right"", ""dataset_metadata"": {""filename"": ""Hand_0001997"", ""age"": ""21"", ""gender"": ""female"", ""skinColor"": ""fair"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""dorsal right"", ""imageName"": ""Hand_0001997.jpg"", ""irregularities"": ""0""}}"
5,11k_Hands::0000013::Hand_0000511,HandGeometry\Hands\Hand_0000511.jpg,0000013,handGeometry,11k_Hands,gallery,"{""aspect_of_hand"": ""dorsal right"", ""dataset_metadata"": {""filename"": ""Hand_0000511"", ""age"": ""20"", ""gender"": ""female"", ""skinColor"": ""medium"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""dorsal right"", ""imageName"": ""Hand_0000511.jpg"", ""irregularities"": ""0""}}"
6,11k_Hands::0000013::Hand_0000508,HandGeometry\Hands\Hand_0000508.jpg,0000013,handGeometry,11k_Hands,probe,"{""aspect_of_hand"": ""dorsal right"", ""dataset_metadata"": {""filename"": ""Hand_0000508"", ""age"": ""20"", ""gender"": ""female"", ""skinColor"": ""medium"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""dorsal right"", ""imageName"": ""Hand_0000508.jpg"", ""irregularities"": ""0""}}"
7,11k_Hands::0001008::Hand_0001243,HandGeometry\Hands\Hand_0001243.jpg,0001008,handGeometry,11k_Hands,gallery,"{""aspect_of_hand"": ""dorsal right"", ""dataset_metadata"": {""filename"": ""Hand_0001243"", ""age"": ""20"", ""gender"": ""female"", ""skinColor"": ""medium"", ""accessories"": ""1"", ""nailPolish"": ""0"", ""aspectOfHand"": ""dorsal right"", ""imageName"": ""Hand_0001243.jpg"", ""irregularities"": ""0""}}"
8,11k_Hands::0001008::Hand_0001248,HandGeometry\Hands\Hand_0001248.jpg,0001008,handGeometry,11k_Hands,probe,"{""aspect_of_hand"": ""dorsal right"", ""dataset_metadata"": {""filename"": ""Hand_0001248"", ""age"": ""20"", ""gender"": ""female"", ""skinColor"": ""medium"", ""accessories"": ""1"", ""nailPolish"": ""0"", ""aspectOfHand"": ""dorsal right"", ""imageName"": ""Hand_0001248.jpg"", ""irregularities"": ""0""}}"
9,11k_Hands::0000587::Hand_0005910,HandGeometry\Hands\Hand_0005910.jpg,0000587,handGeometry,11k_Hands,gallery,"{""aspect_of_hand"": ""dorsal right"", ""dataset_metadata"": {""filename"": ""Hand_0005910"", ""age"": ""22"", ""gender"": ""female"", ""skinColor"": ""medium"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""dorsal right"", ""imageName"": ""Hand_0005910.jpg"", ""irregularities"": ""0""}}"
10,11k_Hands::0000587::Hand_0005883,HandGeometry\Hands\Hand_0005883.jpg,0000587,handGeometry,11k_Hands,probe,"{""aspect_of_hand"": ""dorsal right"", ""dataset_metadata"": {""filename"": ""Hand_0005883"", ""age"": ""22"", ""gender"": ""female"", ""skinColor"": ""medium"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""dorsal right"", ""imageName"": ""Hand_0005883.jpg"", ""irregularities"": ""0""}}"
11,11k_Hands::0000573::Hand_0008010,HandGeometry\Hands\Hand_0008010.jpg,0000573,handGeometry,11k_Hands,gallery,"{""aspect_of_hand"": ""dorsal right"", ""dataset_metadata"": {""filename"": ""Hand_0008010"", ""age"": ""21"", ""gender"": ""female"", ""skinColor"": ""fair"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""dorsal right"", ""imageName"": ""Hand_0008010.jpg"", ""irregularities"": ""0""}}"
12,11k_Hands::0000573::Hand_0008014,HandGeometry\Hands\Hand_0008014.jpg,0000573,handGeometry,11k_Hands,probe,"{""aspect_of_hand"": ""dorsal right"", ""dataset_metadata"": {""filename"": ""Hand_0008014"", ""age"": ""21"", ""gender"": ""female"", ""skinColor"": ""fair"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""dorsal right"", ""imageName"": ""Hand_0008014.jpg"", ""irregularities"": ""0""}}"
13,11k_Hands::0000505::Hand_0000134,HandGeometry\Hands\Hand_0000134.jpg,0000505,handGeometry,11k_Hands,gallery,"{""aspect_of_hand"": ""dorsal right"", ""dataset_metadata"": {""filename"": ""Hand_0000134"", ""age"": ""21"", ""gender"": ""female"", ""skinColor"": ""medium"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""dorsal right"", ""imageName"": ""Hand_0000134.jpg"", ""irregularities"": ""0""}}"
14,11k_Hands::0000505::Hand_0000132,HandGeometry\Hands\Hand_0000132.jpg,0000505,handGeometry,11k_Hands,probe,"{""aspect_of_hand"": ""dorsal right"", ""dataset_metadata"": {""filename"": ""Hand_0000132"", ""age"": ""21"", ""gender"": ""female"", ""skinColor"": ""medium"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""dorsal right"", ""imageName"": ""Hand_0000132.jpg"", ""irregularities"": ""0""}}"
15,11k_Hands::0000081::Hand_0000393,HandGeometry\Hands\Hand_0000393.jpg,0000081,handGeometry,11k_Hands,gallery,"{""aspect_of_hand"": ""dorsal right"", ""dataset_metadata"": {""filename"": ""Hand_0000393"", ""age"": ""20"", ""gender"": ""female"", ""skinColor"": ""fair"", ""accessories"": ""0"", ""nailPolish"": ""1"", ""aspectOfHand"": ""dorsal right"", ""imageName"": ""Hand_0000393.jpg"", ""irregularities"": ""0""}}"
