matcher,modality,pair_id,identity1,identity2,num_keypoints_image1,num_keypoints_image2,num_matches,num_inliers,inlier_ratio,is_same_person_pred,confidence,ground_truth,is_correct,reprojection_error,timings_ms
loftr,iris,AMF-Iris_genuine_0,assem,assem,2160,2160,2160,1912,0.8852,True,0.8809,True,True,1.5961,"{""load_images"": 2.8013, ""preprocess"": 0.603, ""masking"": 12.6808, ""inference_ms"": 790.2549, ""match_impl_total"": 795.0811, ""homography"": 3.0088, ""result_creation"": 0.0838}"
orb,iris,AMF-Iris_genuine_0,assem,assem,86,83,39,34,0.8718,True,0.8718,True,True,1.4772,"{""load_images"": 1.9404, ""preprocess"": 0.6079, ""masking"": 11.6373, ""feature_extraction_ms"": 100.5577, ""matching_ms"": 0.6605, ""match_impl_total"": 101.3044, ""homography"": 0.7765, ""result_creation"": 0.0679}"
orb-fingervein,iris,AMF-Iris_genuine_0,assem,assem,3003,2804,478,384,0.8033,True,0.7961,True,True,1.6816,"{""load_images"": 1.5592, ""preprocess"": 0.4089, ""masking"": 9.2648, ""feature_extraction_ms"": 35.654, ""matching_ms"": 49.8168, ""match_impl_total"": 85.896, ""homography"": 1.3932, ""result_creation"": 0.0683}"
sift,iris,AMF-Iris_genuine_0,assem,assem,28,32,17,13,0.7647,True,0.7469,True,True,1.8322,"{""load_images"": 1.3662, ""preprocess"": 0.218, ""masking"": 8.812, ""feature_extraction_ms"": 111.0009, ""matching_ms"": 0.7404, ""match_impl_total"": 111.8617, ""homography"": 0.807, ""result_creation"": 0.0663}"
sift-fingervein,iris,AMF-Iris_genuine_0,assem,assem,446,419,153,126,0.8235,True,0.8135,True,True,1.7457,"{""load_images"": 1.7282, ""preprocess"": 0.5443, ""masking"": 9.8283, ""feature_extraction_ms"": 125.6989, ""matching_ms"": 12.3373, ""match_impl_total"": 138.3505, ""homography"": 0.8269, ""result_creation"": 0.0664}"
superglue,iris,AMF-Iris_genuine_0,assem,assem,180,155,131,73,0.5573,True,0.5330,True,True,2.3901,"{""load_images"": 1.8937, ""preprocess"": 0.5657, ""masking"": 9.1357, ""inference_ms"": 192.9716, ""match_impl_total"": 207.7498, ""homography"": 1.8224, ""result_creation"": 0.0804}"
superglue-fingervein,iris,AMF-Iris_genuine_0,assem,assem,353,304,219,121,0.5525,True,0.5295,True,True,2.3519,"{""load_images"": 1.762, ""preprocess"": 0.5447, ""masking"": 9.602, ""inference_ms"": 117.5319, ""match_impl_total"": 120.6144, ""homography"": 2.4925, ""result_creation"": 0.0703}"
sgmnet,iris,AMF-Iris_genuine_0,assem,assem,1404,1440,614,288,0.4691,True,0.4659,True,True,1.6340,"{""load_images"": 1.4544, ""preprocess"": 0.206, ""masking"": 8.1296, ""feature_extraction_ms"": 191.8247, ""matching_ms"": 188.5399, ""match_impl_total"": 380.9354, ""homography"": 5.0178, ""result_creation"": 0.0716}"
sgmnet-fingervein,iris,AMF-Iris_genuine_0,assem,assem,1404,1440,679,284,0.4183,True,0.4160,True,True,1.6071,"{""load_images"": 2.0372, ""preprocess"": 0.2161, ""masking"": 9.5898, ""feature_extraction_ms"": 150.597, ""matching_ms"": 140.5739, ""match_impl_total"": 291.9484, ""homography"": 5.4926, ""result_creation"": 0.0679}"
aspanformer,iris,AMF-Iris_genuine_0,assem,assem,3557,3557,3557,3024,0.8502,True,0.8490,True,True,1.5268,"{""load_images"": 2.8799, ""preprocess"": 0.051, ""masking"": 9.5012, ""inference_ms"": 693.142, ""match_impl_total"": 703.496, ""homography"": 4.325, ""result_creation"": 0.0828}"
deepdetect,iris,AMF-Iris_genuine_0,assem,assem,8907,8755,1596,1596,1.0000,True,1.0000,True,True,1.3001,"{""load_images"": 1.8079, ""preprocess"": 0.6616, ""masking"": 6.2143, ""cnn_inference_ms"": 52.4604, ""sift_descriptor_ms"": 62.2767, ""matching_ms"": 278.6699, ""match_impl_total"": 421.005, ""homography"": 2.1656, ""result_creation"": 0.0717}"
loftr,iris,AMF-Iris_genuine_1,abeer,abeer,2371,2371,2371,1725,0.7275,True,0.7174,True,True,1.7811,"{""load_images"": 1.423, ""preprocess"": 0.2102, ""masking"": 7.6797, ""inference_ms"": 439.5534, ""match_impl_total"": 441.8842, ""homography"": 2.7258, ""result_creation"": 0.0692}"
orb,iris,AMF-Iris_genuine_1,abeer,abeer,275,221,29,14,0.4828,True,0.4804,True,True,1.2126,"{""load_images"": 1.4287, ""preprocess"": 0.4958, ""masking"": 8.1586, ""feature_extraction_ms"": 11.177, ""matching_ms"": 1.3941, ""match_impl_total"": 12.6547, ""homography"": 2.9883, ""result_creation"": 0.0672}"
orb-fingervein,iris,AMF-Iris_genuine_1,abeer,abeer,3918,3678,153,102,0.6667,True,0.6563,True,True,1.8125,"{""load_images"": 1.3769, ""preprocess"": 0.2033, ""masking"": 8.8148, ""feature_extraction_ms"": 40.4986, ""matching_ms"": 79.7562, ""match_impl_total"": 120.4072, ""homography"": 1.336, ""result_creation"": 0.0654}"
sift,iris,AMF-Iris_genuine_1,abeer,abeer,18,19,7,5,0.7143,True,0.6658,True,True,0.6774,"{""load_images"": 1.3552, ""preprocess"": 0.2036, ""masking"": 8.5523, ""feature_extraction_ms"": 99.706, ""matching_ms"": 0.365, ""match_impl_total"": 100.1936, ""homography"": 0.9136, ""result_creation"": 0.0652}"
sift-fingervein,iris,AMF-Iris_genuine_1,abeer,abeer,846,744,80,52,0.6500,True,0.6257,True,True,2.2618,"{""load_images"": 1.7436, ""preprocess"": 0.2158, ""masking"": 8.1964, ""feature_extraction_ms"": 126.591, ""matching_ms"": 22.792, ""match_impl_total"": 149.8372, ""homography"": 1.4156, ""result_creation"": 0.0662}"
